PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,los angeles,,,,,,,,,
Location:,"LOS ANGELES INTL ARPT, CA",,,,,,,,,
Lat (deg N):,33.93,,,,,,,,,
Long (deg W):,118.4,,,,,,,,,
Elev (m):,30,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,34.1,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.13,,,,,,,,,
Capacity Factor (%),"18.3	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,9,15,394,92,16.1,4.1,352.304,23.438,298.565,286.11
1,9,16,22,39,14.4,3.6,54.343,14.862,48.077,41.607
1,9,17,0,0,13.3,3.1,0,13.3,0,0
1,9,18,0,0,12.8,4.1,0,12.8,0,0
1,9,19,0,0,12.2,2.6,0,12.2,0,0
1,9,20,0,0,12.2,2.6,0,12.2,0,0
1,9,21,0,0,12.2,3.1,0,12.2,0,0
1,9,22,0,0,10.6,2.6,0,10.6,0,0
1,9,23,0,0,10,2.1,0,10,0,0
1,10,0,0,0,8.3,1.5,0,8.3,0,0
1,10,1,0,0,8.3,3.6,0,8.3,0,0
1,10,2,0,0,7.8,2.6,0,7.8,0,0
1,10,3,0,0,7.2,2.6,0,7.2,0,0
1,10,4,0,0,6.1,2.6,0,6.1,0,0
1,10,5,0,0,6.1,2.1,0,6.1,0,0
1,10,6,0,0,6.1,1.5,0,6.1,0,0
1,10,7,120,32,8.3,2.1,91.306,8.929,79.425,72.323
1,10,8,392,94,10.6,1.5,350.655,19.211,302.796,290.222
1,10,9,566,126,13.3,0,587.688,36.044,475.975,457.988
1,10,10,352,191,15,4.1,535.191,26.356,456.707,439.373
1,10,11,491,192,15,5.2,707.205,28.048,599.179,576.719
1,10,12,477,208,15,4.6,713.405,29.451,600.408,577.901
1,10,13,442,198,15.6,5.2,639.298,27.638,542.243,521.914
1,10,14,623,96,15.6,5.7,605.697,26.262,514.305,494.982
1,10,15,440,78,15,3.6,362.417,23.072,307.144,294.447
1,10,16,131,32,13.9,5.2,95.175,14.968,80.446,73.323
1,10,17,0,0,12.2,3.1,0,12.2,0,0
1,10,18,0,0,12.2,2.6,0,12.2,0,0
1,10,19,0,0,11.7,1.5,0,11.7,0,0
1,10,20,0,0,11.7,0,0,11.7,0,0
1,10,21,0,0,11.1,2.1,0,11.1,0,0
1,10,22,0,0,10,0,0,10,0,0
1,10,23,0,0,9.4,2.1,0,9.4,0,0
1,11,0,0,0,8.3,2.1,0,8.3,0,0
1,11,1,0,0,7.2,2.1,0,7.2,0,0
1,11,2,0,0,6.1,2.1,0,6.1,0,0
1,11,3,0,0,6.1,1,0,6.1,0,0
1,11,4,0,0,7.2,0,0,7.2,0,0
1,11,5,0,0,6.1,0,0,6.1,0,0
1,11,6,0,0,6.1,2.1,0,6.1,0,0
1,11,7,89,33,7.2,4.1,81.389,7.565,71.962,65.014
1,11,8,508,64,11.7,3.6,384.977,19.093,331.2,317.808
1,11,9,657,84,14.4,3.1,611.741,28.219,514.272,494.95
1,11,10,681,126,17.2,2.1,767.969,37.325,621.055,597.746
1,11,11,697,138,18.3,1.5,843.952,42.814,664.635,639.588
1,11,12,688,154,20.6,2.6,855.152,42.022,676.216,650.697
1,11,13,352,164,20,4.6,522.245,30.873,436.166,419.514
1,11,14,374,163,17.2,4.1,478.328,27.189,405.063,389.416
1,11,15,300,107,16.7,3.1,306.937,23.606,260.738,249.325
1,11,16,39,45,15.6,3.1,70.295,16.412,61.338,54.605
1,11,17,0,0,15,3.1,0,15,0,0
1,11,18,0,0,15,2.6,0,15,0,0
1,11,19,0,0,15,2.6,0,15,0,0
1,11,20,0,0,14.4,1.5,0,14.4,0,0
1,11,21,0,0,13.3,1.5,0,13.3,0,0
1,11,22,0,0,13.3,2.1,0,13.3,0,0
1,11,23,0,0,11.7,2.6,0,11.7,0,0
1,12,0,0,0,11.1,2.1,0,11.1,0,0
1,12,1,0,0,8.9,3.1,0,8.9,0,0
1,12,2,0,0,9.4,3.1,0,9.4,0,0
1,12,3,0,0,9.4,1.5,0,9.4,0,0
1,12,4,0,0,7.8,2.1,0,7.8,0,0
1,12,5,0,0,8.3,2.6,0,8.3,0,0
1,12,6,0,0,8.9,2.1,0,8.9,0,0
1,12,7,215,26,8.9,2.6,127.388,10.484,108.004,100.297
1,12,8,153,110,11.7,3.1,215.032,15.5,190.399,180.791
1,12,9,67,204,12.8,3.6,274.557,17.986,243.489,232.534
1,12,10,209,189,15.6,4.6,408.718,23.084,354.289,340.213
1,12,11,739,132,16.1,4.1,876.501,34.3,720.411,693.045
1,12,12,591,196,17.2,3.1,806.969,36.583,655.89,631.197
1,12,13,640,150,17.8,4.1,763.892,34.384,626.98,603.439
1,12,14,583,108,16.7,2.1,591.575,32.865,486.858,468.497
1,12,15,523,73,16.1,2.1,410.839,27.112,341.395,327.703
1,12,16,201,31,15.6,1.5,127.53,18.99,104.869,97.23
1,12,17,0,0,14.4,1.5,0,14.4,0,0
1,12,18,0,0,14.4,2.6,0,14.4,0,0
1,12,19,0,0,13.9,2.6,0,13.9,0,0
1,12,20,0,0,13.3,2.6,0,13.3,0,0
1,12,21,0,0,12.2,2.1,0,12.2,0,0
1,12,22,0,0,12.2,3.1,0,12.2,0,0
1,12,23,0,0,12.2,2.1,0,12.2,0,0
1,13,0,0,0,11.7,1.5,0,11.7,0,0
1,13,1,0,0,11.1,1,0,11.1,0,0
1,13,2,0,0,10,0,0,10,0,0
1,13,3,0,0,9.4,1.5,0,9.4,0,0
1,13,4,0,0,9.4,1,0,9.4,0,0
1,13,5,0,0,9.4,1,0,9.4,0,0
1,13,6,0,0,8.3,1,0,8.3,0,0
1,13,7,61,33,8.9,2.1,64.158,8.585,56.84,50.197
1,13,8,363,83,11.1,2.6,319.91,17.603,278.122,266.236
1,13,9,532,119,13.9,1,553.355,30.691,460.057,442.61
1,13,10,624,143,15.6,1.5,737.961,36.69,598.74,576.297
1,13,11,644,175,15.6,3.1,836.278,35.372,683.772,657.942
1,13,12,655,168,16.1,2.1,841.147,38.742,676.318,650.794
1,13,13,618,155,16.7,5.2,750.957,31.058,626.481,602.96
1,13,14,544,121,16.7,4.1,571.626,29.141,479.135,461.04
1,13,15,374,85,16.1,5.2,334.598,22.115,285.551,273.46
1,13,16,73,35,15,4.6,70.668,15.647,60.547,53.83
1,13,17,0,0,13.9,4.6,0,13.9,0,0
1,13,18,0,0,13.3,5.2,0,13.3,0,0
1,13,19,0,0,13.3,5.2,0,13.3,0,0
1,13,20,0,0,13.3,2.6,0,13.3,0,0
1,13,21,0,0,12.8,2.1,0,12.8,0,0
1,13,22,0,0,12.2,2.1,0,12.2,0,0
1,13,23,0,0,11.1,1.5,0,11.1,0,0
1,14,0,0,0,10.6,2.6,0,10.6,0,0
1,14,1,0,0,10,2.1,0,10,0,0
1,14,2,0,0,10,1.5,0,10,0,0
1,14,3,0,0,8.9,1.5,0,8.9,0,0
1,14,4,0,0,9.4,2.6,0,9.4,0,0
1,14,5,0,0,10,2.6,0,10,0,0
1,14,6,0,0,10,1.5,0,10,0,0
1,14,7,223,27,10,2.6,130.478,11.46,109.956,102.207
1,14,8,589,55,11.1,2.1,418.503,20.881,356.356,342.217
1,14,9,741,74,13.9,1.5,657.66,32.389,541.661,521.354
1,14,10,814,88,16.1,1.5,833.261,40.072,664.518,639.475
1,14,11,847,95,18.3,3.1,928.107,40.26,740.466,712.239
1,14,12,853,95,20,0,936.406,56.187,686.87,660.911
1,14,13,822,89,20.6,0,849.032,54.274,628.606,605.001
1,14,14,742,75,19.4,4.1,670.549,34.082,548.256,527.708
1,14,15,597,57,17.8,3.6,436.837,27.665,361.57,347.274
1,14,16,255,30,16.1,4.1,149.152,18.782,122.09,114.075
1,14,17,1,1,13.9,4.1,1.171,12.691,1.012,0
1,14,18,0,0,13.9,4.6,0,13.9,0,0
1,14,19,0,0,13.9,3.1,0,13.9,0,0
1,14,20,0,0,13.9,1.5,0,13.9,0,0
1,14,21,0,0,13.3,2.1,0,13.3,0,0
1,14,22,0,0,12.2,2.1,0,12.2,0,0
1,14,23,0,0,11.7,2.1,0,11.7,0,0
1,15,0,0,0,11.7,1.5,0,11.7,0,0
1,15,1,0,0,10,2.1,0,10,0,0
1,15,2,0,0,9.4,2.1,0,9.4,0,0
1,15,3,0,0,8.9,2.1,0,8.9,0,0
1,15,4,0,0,9.4,0,0,9.4,0,0
1,15,5,0,0,8.3,0,0,8.3,0,0
1,15,6,0,0,8.3,2.1,0,8.3,0,0
1,15,7,316,25,9.4,2.1,160.812,11.775,133.543,125.272
1,15,8,548,52,12.2,2.6,391.1,20.771,333.212,319.761
1,15,9,817,59,15.6,2.1,688.755,33.127,564.998,543.831
1,15,10,863,70,17.8,1.5,845.26,42.106,667.1,641.952
1,15,11,904,77,19.4,0,950.154,55.631,699.049,672.583
1,15,12,808,74,21.1,3.6,859.421,40.714,684.117,658.272
1,15,13,835,72,20.6,3.1,832.003,40.399,662.56,637.597
1,15,14,719,76,19.4,3.6,655.594,34.408,535.256,515.181
1,15,15,566,53,18.3,3.1,414.49,28.156,342.364,328.643
1,15,16,178,41,17.2,0,132.383,24.314,107.498,99.802
1,15,17,2,1,13.9,3.1,1.427,12.55,1.192,0
1,15,18,0,0,13.9,3.1,0,13.9,0,0
1,15,19,0,0,13.9,3.1,0,13.9,0,0
1,15,20,0,0,13.9,3.1,0,13.9,0,0
1,15,21,0,0,13.3,1.5,0,13.3,0,0
1,15,22,0,0,12.8,1.5,0,12.8,0,0
1,15,23,0,0,12.2,1.5,0,12.2,0,0
1,16,0,0,0,10.6,2.6,0,10.6,0,0
1,16,1,0,0,10.6,1.5,0,10.6,0,0
1,16,2,0,0,10.6,0,0,10.6,0,0
1,16,3,0,0,10,0,0,10,0,0
1,16,4,0,0,7.8,1.5,0,7.8,0,0
1,16,5,0,0,7.8,1.5,0,7.8,0,0
1,16,6,0,0,7.8,0,0,7.8,0,0
1,16,7,227,28,8.9,1.5,132.037,10.605,111.554,103.77
1,16,8,599,55,12.8,2.6,423.305,22.089,358.332,344.134
1,16,9,750,74,16.7,2.1,664.163,33.671,543.595,523.217
