PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,los angeles,,,,,,,,,
Location:,"LOS ANGELES INTL ARPT, CA",,,,,,,,,
Lat (deg N):,33.93,,,,,,,,,
Long (deg W):,118.4,,,,,,,,,
Elev (m):,30,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,34.1,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.13,,,,,,,,,
Capacity Factor (%),"18.3	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
6,21,10,227,430,19.4,4.6,608.759,31.736,506.549,487.501
6,21,11,162,468,19.4,5.7,594.667,29.856,499.62,480.815
6,21,12,524,401,20,5.7,877.408,35.529,716.81,689.596
6,21,13,660,298,21.1,5.7,857.821,36.673,695.875,669.542
6,21,14,391,360,20,6.7,622.43,30.193,519.602,500.09
6,21,15,540,246,19.4,6.2,528.286,28.197,437.361,420.67
6,21,16,559,173,18.9,5.7,344.535,24.714,273.032,261.286
6,21,17,368,153,18.3,6.2,160.245,20.375,122.72,114.691
6,21,18,0,113,17.2,5.2,69.997,17.509,62.316,55.564
6,21,19,0,0,17.2,4.1,0,17.2,0,0
6,21,20,0,0,17.2,3.6,0,17.2,0,0
6,21,21,0,0,17.2,3.6,0,17.2,0,0
6,21,22,0,0,16.7,3.6,0,16.7,0,0
6,21,23,0,0,16.7,2.1,0,16.7,0,0
6,22,0,0,0,16.7,1.5,0,16.7,0,0
6,22,1,0,0,16.1,2.1,0,16.1,0,0
6,22,2,0,0,16.1,0,0,16.1,0,0
6,22,3,0,0,16.1,0,0,16.1,0,0
6,22,4,0,0,16.7,0,0,16.7,0,0
6,22,5,0,13,17.2,1.5,11.431,15.416,10.274,4.522
6,22,6,0,55,17.8,1.5,48.62,17.199,43.347,36.969
6,22,7,6,155,18.3,1.5,138.418,20.546,121.297,113.299
6,22,8,111,310,18.9,2.1,345.422,26.75,292.797,280.505
6,22,9,688,267,20.6,4.1,777.204,36.515,628.431,604.833
6,22,10,823,187,21.1,4.6,901.954,39.474,721.482,694.07
6,22,11,833,193,21.1,5.7,965.136,38.627,776.257,746.461
6,22,12,831,194,20.6,8.2,960.373,34.544,788.208,757.879
6,22,13,812,197,20.6,7.7,890.285,34.06,731.332,703.499
6,22,14,739,228,20,6.2,763.389,33.179,626.412,602.893
6,22,15,589,233,20,6.2,544.381,29.257,447.836,430.798
6,22,16,578,178,18.9,6.2,355.786,24.617,282.102,270.107
6,22,17,368,163,18.3,5.7,167.856,20.656,129.176,121.002
6,22,18,0,109,17.8,4.1,69.038,18.188,61.274,54.542
6,22,19,0,0,17.2,3.1,0,17.2,0,0
6,22,20,0,0,17.2,2.6,0,17.2,0,0
6,22,21,0,0,17.2,2.6,0,17.2,0,0
6,22,22,0,0,16.7,2.6,0,16.7,0,0
6,22,23,0,0,16.7,2.6,0,16.7,0,0
6,23,0,0,0,16.7,3.1,0,16.7,0,0
6,23,1,0,0,16.1,2.6,0,16.1,0,0
6,23,2,0,0,16.1,0,0,16.1,0,0
6,23,3,0,0,16.7,1.5,0,16.7,0,0
6,23,4,0,0,17.2,1.5,0,17.2,0,0
6,23,5,0,13,17.2,1.5,11.431,15.416,10.274,4.522
6,23,6,0,47,17.2,2.1,41.516,16.468,37.135,30.878
6,23,7,29,187,18.3,3.1,174.779,20.976,152.017,143.324
6,23,8,252,328,18.9,1.5,446.658,30.52,370.084,355.529
6,23,9,551,314,21.1,4.6,715.861,35.166,583.159,561.31
6,23,10,537,344,20.6,4.6,804.085,36.908,651.863,627.332
6,23,11,671,304,21.1,4.6,925.1,39.983,739.083,710.916
6,23,12,735,257,21.1,5.7,938.005,38.173,756.163,727.254
6,23,13,812,190,21.1,6.2,884.283,36.42,717.986,690.723
6,23,14,770,196,21.1,5.7,757.08,34.875,615.864,592.758
6,23,15,676,195,21.1,6.7,561.732,30.194,458.814,441.409
6,23,16,527,188,20,6.7,347.366,25.325,276.134,264.303
6,23,17,317,146,18.9,5.2,150.506,21.075,116.184,108.298
6,23,18,0,106,17.8,4.6,68.26,18.101,60.607,53.889
6,23,19,0,0,17.2,3.1,0,17.2,0,0
6,23,20,0,0,16.7,2.1,0,16.7,0,0
6,23,21,0,0,16.7,2.1,0,16.7,0,0
6,23,22,0,0,16.7,2.1,0,16.7,0,0
6,23,23,0,0,17,0,0,17,0,0
6,24,0,0,0,17.2,2.6,0,17.2,0,0
6,24,1,0,0,16.7,1.5,0,16.7,0,0
6,24,2,0,0,17.2,2.1,0,17.2,0,0
6,24,3,0,0,17.2,1.5,0,17.2,0,0
6,24,4,0,0,17.8,1.5,0,17.8,0,0
6,24,5,0,13,17.8,2.1,11.431,16.224,10.237,4.485
6,24,6,0,64,18.3,0,56.627,17.228,50.478,43.961
6,24,7,213,228,19.4,1.5,279.002,25.798,230.871,220.245
6,24,8,499,247,21.1,1.5,522.053,35.172,419.589,403.476
6,24,9,747,218,21.1,4.6,776.63,36.519,627.597,604.032
6,24,10,823,187,21.1,5.2,901.624,38.223,725.76,698.166
6,24,11,833,193,20.6,5.7,965.203,38.125,778.268,748.384
6,24,12,831,193,21.1,5.7,959.902,38.62,772.027,742.419
6,24,13,812,196,21.7,6.2,890.169,37.153,720.154,692.798
6,24,14,678,264,21.7,6.2,752.135,34.703,612.947,589.955
6,24,15,273,326,20.6,7.2,448.318,27.474,375.983,361.246
6,24,16,244,242,18.9,5.7,293,23.668,243.249,232.301
6,24,17,14,133,18.3,6.2,112.629,19.485,98.673,91.167
6,24,18,0,104,17.8,6.2,67.73,17.972,60.172,53.462
6,24,19,0,0,16.7,3.1,0,16.7,0,0
6,24,20,0,0,16.1,3.6,0,16.1,0,0
6,24,21,0,0,16.1,2.6,0,16.1,0,0
6,24,22,0,0,16.1,2.1,0,16.1,0,0
6,24,23,0,0,16.7,0,0,16.7,0,0
6,25,0,0,0,16.7,2.1,0,16.7,0,0
6,25,1,0,0,16.7,1.5,0,16.7,0,0
6,25,2,0,0,16.7,2.1,0,16.7,0,0
6,25,3,0,0,16.7,0,0,16.7,0,0
6,25,4,0,0,16.7,1.5,0,16.7,0,0
6,25,5,0,13,16.7,2.6,11.432,15.21,10.283,4.531
6,25,6,0,76,17.8,1.5,66.846,17.746,59.448,52.753
6,25,7,40,220,18.3,2.1,206.583,22.239,178.403,169.087
6,25,8,65,305,19.4,4.6,310.491,24.799,266.189,254.628
6,25,9,119,391,19.4,4.1,451.345,28.378,381.305,366.404
6,25,10,257,432,20,5.2,636.421,31.614,529.84,509.962
6,25,11,234,457,19.4,5.2,658.529,31.712,548.295,527.745
6,25,12,78,441,20.6,6.2,482.326,28.664,407.593,391.866
6,25,13,170,449,20.6,6.2,567.265,29.908,476.236,458.241
6,25,14,281,402,20.6,6.7,581.551,29.799,486.999,468.633
6,25,15,608,255,19.4,6.7,575.863,28.507,475.846,457.864
6,25,16,546,201,18.3,5.7,365.902,24.56,292.412,280.13
6,25,17,230,162,17.8,6.2,153.158,19.772,123.459,115.413
6,25,18,0,102,16.1,5.7,67.147,16.307,60.106,53.398
6,25,19,0,0,16.1,4.1,0,16.1,0,0
6,25,20,0,0,15.6,4.6,0,15.6,0,0
6,25,21,0,0,15.6,4.1,0,15.6,0,0
6,25,22,0,0,15,2.1,0,15,0,0
6,25,23,0,0,15,3.1,0,15,0,0
6,26,0,0,0,15,3.1,0,15,0,0
6,26,1,0,0,15.6,2.6,0,15.6,0,0
6,26,2,0,0,15.6,2.1,0,15.6,0,0
6,26,3,0,0,15,2.6,0,15,0,0
6,26,4,0,0,15.6,2.1,0,15.6,0,0
6,26,5,0,13,15.6,0,11.432,12.166,10.424,4.669
6,26,6,0,46,16.1,0,40.628,14.125,36.726,30.477
6,26,7,224,227,17.2,1.5,281.904,23.602,235.311,224.57
6,26,8,440,267,20,2.1,504.953,32.427,411.991,396.123
6,26,9,676,244,20.6,5.2,746.708,34.388,610.025,587.146
6,26,10,734,265,20.6,5.2,901.932,37.681,728.134,700.438
6,26,11,162,444,20.6,5.7,572.234,31.069,477.964,459.909
6,26,12,458,379,20,5.2,797.58,34.847,653.817,629.208
6,26,13,230,444,19.4,5.2,614.065,31.118,512.431,493.175
6,26,14,367,372,19.4,6.7,617.44,29.228,518.031,498.575
6,26,15,558,295,18.3,6.7,583.256,27.556,485.259,466.953
6,26,16,231,248,17.8,6.7,293.97,22.239,246.319,235.289
6,26,17,72,147,16.7,4.6,126.914,18.455,108.872,101.146
6,26,18,0,100,16.1,4.6,66.515,16.295,59.544,52.847
6,26,19,0,0,16.1,5.2,0,16.1,0,0
6,26,20,0,0,15,4.1,0,15,0,0
6,26,21,0,0,15,4.1,0,15,0,0
6,26,22,0,0,15.6,4.1,0,15.6,0,0
6,26,23,0,0,15,3.1,0,15,0,0
6,27,0,0,0,15.6,2.1,0,15.6,0,0
6,27,1,0,0,15.6,2.6,0,15.6,0,0
6,27,2,0,0,15.6,2.1,0,15.6,0,0
6,27,3,0,0,15.6,2.1,0,15.6,0,0
6,27,4,0,0,15.6,1.5,0,15.6,0,0
6,27,5,0,13,16.1,0,11.432,12.689,10.4,4.646
6,27,6,0,55,16.7,2.6,48.621,16.197,43.544,37.163
6,27,7,6,149,17.2,2.1,133.204,19.089,117.499,109.585
6,27,8,106,308,18.9,3.1,336.803,25.653,286.988,274.857
6,27,9,682,268,19.4,3.6,772.395,35.897,626.417,602.898
6,27,10,591,335,20,3.6,842.425,38.911,676.076,650.562
6,27,11,761,264,20,4.1,972.476,40.921,773.21,743.55
6,27,12,404,407,20,4.6,773.654,36.145,630.178,606.511
6,27,13,515,380,20,5.7,811.489,34.591,665.371,640.294
6,27,14,709,251,20,5.2,764.995,34.597,623.697,600.285
6,27,15,639,219,19.4,5.2,564.83,30.134,462.412,444.886
6,27,16,469,199,18.9,4.6,338.769,25.516,271.137,259.442
6,27,17,316,145,17.8,4.6,151.127,20.151,117.066,109.162
6,27,18,0,99,17.2,4.1,66.21,17.48,58.953,52.268
6,27,19,0,0,17.2,4.1,0,17.2,0,0
6,27,20,0,0,16.7,3.1,0,16.7,0,0
6,27,21,0,0,16.7,2.6,0,16.7,0,0
6,27,22,0,0,16.7,2.6,0,16.7,0,0
6,27,23,0,0,16.1,0,0,16.1,0,0
6,28,0,0,0,16.7,1.5,0,16.7,0,0
6,28,1,0,0,16.7,2.1,0,16.7,0,0
6,28,2,0,0,17.2,0,0,17.2,0,0
6,28,3,0,0,17.2,0,0,17.2,0,0
6,28,4,0,0,17.2,2.6,0,17.2,0,0
6,28,5,61,40,17.8,1.5,33.18,16.688,29.65,23.536
6,28,6,431,119,17.8,2.1,156.44,20.274,114.349,106.504
6,28,7,638,143,19,2.1,368.321,27.507,288.545,276.371
6,28,8,745,157,20.6,0,584.633,42.999,448.778,431.709
6,28,9,735,201,20,4.6,751.155,35.012,611.447,588.513
6,28,10,764,221,20.6,5.7,887.208,36.523,720.314,692.952
6,28,11,803,223,20.6,5.2,965.312,39.084,774.647,744.923
6,28,12,795,216,20.6,6.2,949.066,37.057,769.339,739.85
6,28,13,793,200,21.1,6.2,879.628,36.354,714.524,687.407
6,28,14,666,253,20.6,6.7,735.972,32.691,605.793,583.078
6,28,15,354,306,20,6.7,477.276,27.665,398.828,383.379
6,28,16,289,234,18.3,6.7,304.675,22.802,252.59,241.394
6,28,17,201,159,18.3,5.7,148.806,20.238,120.719,112.734
6,28,18,0,98,17.2,4.1,65.879,17.468,58.662,51.982
6,28,19,0,0,16.7,3.1,0,16.7,0,0
6,28,20,0,0,16.7,1.5,0,16.7,0,0
6,28,21,0,0,16.7,2.6,0,16.7,0,0
6,28,22,0,0,16.7,2.1,0,16.7,0,0
6,28,23,0,0,17.2,2.1,0,17.2,0,0
6,29,0,0,0,17.2,2.6,0,17.2,0,0
6,29,1,0,0,16.7,3.1,0,16.7,0,0
6,29,2,0,0,16.7,3.1,0,16.7,0,0
6,29,3,0,0,17.2,3.1,0,17.2,0,0
6,29,4,0,0,17.8,3.1,0,17.8,0,0
6,29,5,0,13,17.8,2.6,11.432,16.338,10.232,4.48
6,29,6,11,106,18.3,2.6,92.836,18.961,81.511,74.366
6,29,7,92,222,18.9,1.5,227.298,23.941,192.852,183.184
6,29,8,569,253,20.6,2.1,566.611,34.427,456.528,439.2
6,29,9,770,194,21.7,3.6,770.661,38.599,616.134,593.018
6,29,10,823,183,21.7,5.2,897.947,38.748,720.889,693.502
6,29,11,833,193,21.7,4.6,966.249,41.565,765.7,736.371
6,29,12,831,193,21.7,6.2,961.858,38.386,774.533,744.814
6,29,13,812,202,21.1,6.2,898.315,36.689,728.496,700.784
6,29,14,745,221,21.1,6.7,765.643,33.705,626.795,603.262
6,29,15,645,207,20.6,6.7,558.942,29.651,458.522,441.127
6,29,16,469,215,20,5.7,353.219,26.029,282.947,270.928
6,29,17,194,161,19.4,5.2,149.648,21.575,121.033,113.041
6,29,18,0,98,17.8,4.1,65.905,18.081,58.522,51.845
6,29,19,0,0,17.2,4.1,0,17.2,0,0
6,29,20,0,0,17.2,2.1,0,17.2,0,0
6,29,21,0,0,17.2,1.5,0,17.2,0,0
6,29,22,0,0,17.8,2.1,0,17.8,0,0
6,29,23,0,0,17.8,3.1,0,17.8,0,0
6,30,0,0,0,17.8,1.5,0,17.8,0,0
6,30,1,0,0,17.8,2.6,0,17.8,0,0
6,30,2,0,0,17.8,2.1,0,17.8,0,0
6,30,3,0,0,17.8,2.6,0,17.8,0,0
6,30,4,0,0,17.2,3.1,0,17.2,0,0
6,30,5,0,12,17.2,3.1,10.55,15.793,9.466,3.728
6,30,6,0,46,17.2,2.1,40.628,16.441,36.346,30.104
6,30,7,0,123,17.8,1.5,108.514,19.115,95.903,88.456
6,30,8,53,276,18.9,2.1,277.772,24.873,238.13,227.316
6,30,9,569,312,20.6,0,726.66,46.979,557.345,536.462
6,30,10,769,233,21.1,5.2,903.06,38.174,727.188,699.533
6,30,11,707,275,21.1,4.1,933.579,41.305,740.86,712.617
6,30,12,807,216,21.7,4.6,961.13,41.524,761.787,732.631
6,30,13,812,202,22.2,5.2,898.977,39.557,718.648,691.356
6,30,14,770,201,21.1,4.1,766.288,37.844,614.476,591.425
6,30,15,571,215,20.6,4.6,522.904,31.334,426.116,409.793
6,30,16,526,178,20,4.1,342.408,27.077,270.054,258.389
6,30,17,374,137,19.4,4.1,152.848,22.011,114.511,106.662
6,30,18,0,98,18.3,3.1,65.915,18.651,58.378,51.705
6,30,19,0,0,17.8,3.1,0,17.8,0,0
6,30,20,0,0,17.8,3.1,0,17.8,0,0
6,30,21,0,0,18,2.9,0,18,0,0
6,30,22,0,0,18.1,2.6,0,18.1,0,0
6,30,23,0,0,18.3,2.4,0,18.3,0,0
7,1,0,0,0,18.4,2.2,0,18.4,0,0
7,1,1,0,0,18.6,2,0,18.6,0,0
7,1,2,0,0,18.7,1.7,0,18.7,0,0
7,1,3,0,0,18.9,1.5,0,18.9,0,0
7,1,4,0,0,18.9,2.6,0,18.9,0,0
7,1,5,0,15,18.9,2.1,13.236,17.404,11.789,6.009
7,1,6,0,59,19.4,3.1,52.331,19.087,46.255,39.821
7,1,7,0,132,20,2.1,116.644,21.509,101.96,94.383
7,1,8,53,276,20.6,2.6,278.596,26.26,237.283,226.49
7,1,9,587,297,22.2,5.2,728.629,35.314,592.925,570.705
7,1,10,787,194,22.2,5.2,879.734,38.845,705.963,679.207
7,1,11,803,199,21.7,6.2,947.492,38.034,764.366,735.097
7,1,12,753,232,22.8,4.6,937.147,42.171,740.365,712.143
7,1,13,739,224,22.2,4.6,865.442,40.124,689.963,663.876
7,1,14,696,207,22.8,5.7,720.658,35.911,583.688,561.819
7,1,15,614,200,22.2,6.2,538.661,31.332,438.571,421.84
7,1,16,481,177,21.7,7.2,327.77,26.463,260.261,248.86
7,1,17,324,142,20,5.7,152.06,22.055,116.245,108.358
7,1,18,0,0,18.9,5.7,0,18.9,0,0
7,1,19,0,0,18.9,4.1,0,18.9,0,0
7,1,20,0,0,18.3,4.1,0,18.3,0,0
7,1,21,0,0,17.8,4.1,0,17.8,0,0
7,1,22,0,0,17.8,3.1,0,17.8,0,0
7,1,23,0,0,17.8,2.1,0,17.8,0,0
7,2,0,0,0,18.3,0,0,18.3,0,0
7,2,1,0,0,18.3,2.1,0,18.3,0,0
7,2,2,0,0,18.9,1.5,0,18.9,0,0
7,2,3,0,0,18.9,0,0,18.9,0,0
7,2,4,0,0,18.9,2.1,0,18.9,0,0
7,2,5,0,27,19.4,2.1,23.896,18.209,21.207,15.252
7,2,6,22,127,19.4,2.6,111.048,20.582,96.31,88.854
7,2,7,75,221,20.6,2.1,220.735,25.09,186.82,177.299
7,2,8,475,255,22.2,1.5,515.269,35.859,412.873,396.976
7,2,9,640,254,22.8,5.2,730.561,36.317,591.261,569.104
7,2,10,752,215,22.2,5.2,874.353,38.746,702.047,675.456
7,2,11,785,211,22.2,5.2,942.174,40.236,751.709,722.994
7,2,12,807,198,22.2,5.2,948.855,40.464,756.131,727.223
7,2,13,727,235,22.8,6.2,866.16,37.839,698.558,672.113
7,2,14,660,237,22.2,6.2,722.352,34.668,588.925,566.857
7,2,15,478,257,21.7,7.2,510.972,29.547,421.532,405.357
7,2,16,366,227,20.6,7.7,328.564,25.121,267.372,255.779
7,2,17,0,74,19.4,6.7,65.119,19.786,57.375,50.721
7,2,18,0,0,18.9,3.6,0,18.9,0,0
7,2,19,0,0,18.9,4.6,0,18.9,0,0
7,2,20,0,0,18.3,3.6,0,18.3,0,0
7,2,21,0,0,18.3,5.7,0,18.3,0,0
7,2,22,0,0,17.8,3.6,0,17.8,0,0
7,2,23,0,0,17.8,2.1,0,17.8,0,0
7,3,0,0,0,17.8,0,0,17.8,0,0
7,3,1,0,0,17.2,0,0,17.2,0,0
7,3,2,0,0,18,1.5,0,18,0,0
7,3,3,0,0,17.8,0,0,17.8,0,0
7,3,4,0,0,18.3,2.1,0,18.3,0,0
7,3,5,0,19,18.3,2.6,16.783,16.988,14.977,9.138
7,3,6,0,100,19.4,3.1,86.682,19.922,76.325,69.288
7,3,7,465,181,20,1.5,334.723,28.117,265.698,254.15
7,3,8,451,245,21.7,2.6,492.509,33.188,399.897,384.414
7,3,9,681,231,21.7,4.6,740.586,36.347,599.107,576.649
7,3,10,775,199,22.2,4.6,874.453,39.963,697.8,671.386
7,3,11,803,200,22.2,6.7,949.394,37.802,766.801,737.424
7,3,12,717,255,22.2,6.7,926.753,37.515,749.612,720.989
7,3,13,739,224,21.7,7.2,866.931,35.367,707.817,680.984
7,3,14,684,224,21.1,7.2,728.998,32.526,600.528,578.016
7,3,15,453,267,21.1,8.8,506.237,27.889,421.357,405.188
7,3,16,494,178,20,7.7,334.317,24.596,267.771,256.168
7,3,17,281,146,20,6.2,150.731,21.922,117.251,109.343
7,3,18,0,0,18.9,6.7,0,18.9,0,0
7,3,19,0,0,17.8,6.2,0,17.8,0,0
7,3,20,0,0,17.2,4.1,0,17.2,0,0
7,3,21,0,0,17.2,3.1,0,17.2,0,0
7,3,22,0,0,17.2,4.1,0,17.2,0,0
7,3,23,0,0,16.7,2.6,0,16.7,0,0
7,4,0,0,0,17.2,2.6,0,17.2,0,0
7,4,1,0,0,16.7,0,0,16.7,0,0
7,4,2,0,0,16.7,0,0,16.7,0,0
7,4,3,0,0,16.7,2.1,0,16.7,0,0
7,4,4,0,0,17.2,1.5,0,17.2,0,0
7,4,5,0,22,17.8,2.6,19.448,16.543,17.39,11.507
7,4,6,234,146,18.9,4.1,150.375,20.778,119.445,111.488
7,4,7,63,197,19.4,3.1,196.06,22.874,167.801,158.737
7,4,8,317,295,20.6,0,455.526,37.547,363.583,349.226
7,4,9,409,334,21.7,2.1,629.119,37.767,506.293,487.253
7,4,10,746,233,22.2,5.2,886.83,38.827,711.814,684.812
7,4,11,821,188,22.2,6.2,955.618,38.686,768.414,738.966
7,4,12,813,192,22.8,6.2,950.28,39.284,761.804,732.648
7,4,13,763,208,22.2,6.2,873.238,37.356,705.939,679.185
7,4,14,733,191,21.1,6.2,735.392,33.788,601.837,579.275
7,4,15,664,180,21.1,7.7,551.051,29.216,452.776,435.574
7,4,16,539,171,20,7.2,344.783,25.021,274.449,262.663
7,4,17,331,141,19.4,6.7,153.202,21.262,117.187,109.279
7,4,18,0,0,18.3,6.2,0,18.3,0,0
7,4,19,0,0,18.3,5.2,0,18.3,0,0
7,4,20,0,0,17.8,4.1,0,17.8,0,0
7,4,21,0,0,17.2,4.1,0,17.2,0,0
7,4,22,0,0,16.7,3.6,0,16.7,0,0
7,4,23,0,0,16.1,3.1,0,16.1,0,0
7,5,0,0,0,16.1,2.6,0,16.1,0,0
7,5,1,0,0,16.1,2.1,0,16.1,0,0
7,5,2,0,0,16.1,1.5,0,16.1,0,0
7,5,3,0,0,16.7,0,0,16.7,0,0
7,5,4,0,0,15.6,2.1,0,15.6,0,0
7,5,5,0,21,16.7,0,18.56,13.638,16.814,10.941
7,5,6,5,111,17.2,2.1,96.1,17.98,85.104,77.884
7,5,7,23,179,18.3,0,165.58,23.551,142.459,133.985
7,5,8,305,309,19.4,2.1,461.116,30.346,381.541,366.632
7,5,9,628,264,20.6,4.1,730.967,35.773,593.263,571.029
7,5,10,775,200,21.1,4.6,876.115,38.877,702.977,676.346
7,5,11,803,200,21.7,6.2,950.565,38.082,766.684,737.313
7,5,12,777,215,21.1,6.2,938.627,37.365,759.767,730.7
7,5,13,727,235,20.6,5.7,868.534,36.445,705.403,678.671
7,5,14,696,207,20.6,5.7,723.82,33.751,592.659,570.449
7,5,15,664,180,20.6,5.2,551.83,31.036,449.532,432.438
7,5,16,514,169,20,5.2,334.813,26.035,265.68,254.133
7,5,17,331,141,19.4,5.7,153.554,21.483,117.334,109.423
7,5,18,0,0,18.3,4.6,0,18.3,0,0
7,5,19,0,0,18.3,3.6,0,18.3,0,0
7,5,20,0,0,18.3,3.1,0,18.3,0,0
7,5,21,0,0,18.3,2.1,0,18.3,0,0
7,5,22,0,0,18.3,0,0,18.3,0,0
7,5,23,0,0,17.8,3.1,0,17.8,0,0
7,6,0,0,0,17.8,1.5,0,17.8,0,0
7,6,1,0,0,17.8,1.5,0,17.8,0,0
7,6,2,0,0,17.8,2.1,0,17.8,0,0
7,6,3,0,0,17.2,0,0,17.2,0,0
7,6,4,0,0,17.2,2.6,0,17.2,0,0
7,6,5,0,28,17.8,1.5,24.793,16.436,22.18,16.207
7,6,6,0,100,18.3,0,86.614,19.03,76.579,69.536
7,6,7,34,192,20,2.1,181.176,23.35,155.673,146.894
7,6,8,334,300,21.1,3.1,469.931,31.079,387.076,371.995
7,6,9,664,246,21.1,3.6,742.062,37.19,597.901,575.49
7,6,10,573,313,21.7,5.2,810.958,37.069,656.87,632.137
7,6,11,785,218,22.2,5.2,950.82,40.303,758.38,729.374
7,6,12,813,193,21.7,4.1,952.761,42.371,751.933,723.209
7,6,13,781,198,21.7,6.2,876.14,36.904,709.886,682.965
7,6,14,733,191,21.1,6.2,737.117,33.822,603.225,580.61
7,6,15,657,178,21.1,6.2,546.828,30.379,446.942,429.934
7,6,16,539,172,20,6.7,346.867,25.3,275.992,264.165
7,6,17,331,141,19.4,5.2,153.9,21.647,117.508,109.594
7,6,18,0,0,18.9,5.2,0,18.9,0,0
7,6,19,0,0,18.3,5.2,0,18.3,0,0
7,6,20,0,0,17.8,6.2,0,17.8,0,0
7,6,21,0,0,17.8,2.6,0,17.8,0,0
7,6,22,0,0,17.2,5.2,0,17.2,0,0
7,6,23,0,0,16.7,2.1,0,16.7,0,0
7,7,0,0,0,17.2,3.1,0,17.2,0,0
7,7,1,0,0,17.2,3.6,0,17.2,0,0
7,7,2,0,0,16.7,2.6,0,16.7,0,0
7,7,3,0,0,16.7,2.6,0,16.7,0,0
7,7,4,0,0,16.1,0,0,16.1,0,0
7,7,5,0,26,17.2,0,23.011,14.369,20.778,14.832
7,7,6,22,118,18.3,2.1,103.784,19.327,90.461,83.129
7,7,7,115,220,20.6,2.1,235.898,25.468,197.912,188.119
7,7,8,586,222,20.6,4.1,550.036,31.525,448.859,431.788
7,7,9,735,194,21.1,4.1,747.594,36.785,603.211,580.596
7,7,10,817,174,21.1,5.2,889.519,37.951,717.018,689.795
7,7,11,827,183,22.2,5.7,958.515,39.599,767.227,737.831
7,7,12,795,204,22.2,6.2,946.977,38.626,761.71,732.557
7,7,13,727,236,21.7,6.7,871.214,36.098,708.835,681.959
7,7,14,715,199,21.1,6.7,732.168,33.125,601.334,578.791
7,7,15,682,175,20.6,6.7,559.09,29.616,458.524,441.129
7,7,16,527,179,20,5.7,349.228,25.957,277.701,265.827
7,7,17,339,140,18.9,5.2,154.448,21.153,117.808,109.887
7,7,18,0,0,18.3,5.7,0,18.3,0,0
7,7,19,0,0,17.8,4.1,0,17.8,0,0
7,7,20,0,0,17.8,3.1,0,17.8,0,0
7,7,21,0,0,17.8,2.6,0,17.8,0,0
7,7,22,0,0,17.8,2.1,0,17.8,0,0
7,7,23,0,0,17.2,0,0,17.2,0,0
7,8,0,0,0,17.8,0,0,17.8,0,0
7,8,1,0,0,17.2,0,0,17.2,0,0
7,8,2,0,0,17,2.1,0,17,0,0
7,8,3,0,0,17.8,1.5,0,17.8,0,0
7,8,4,0,0,17.8,0,0,17.8,0,0
7,8,5,0,16,18.3,1.5,14.124,16.632,12.625,6.829
7,8,6,0,62,18.9,2.1,55.01,18.588,48.735,42.252
7,8,7,178,217,20,2.6,256.475,24.931,213.629,203.443
7,8,8,527,226,21,3.6,519.692,31.776,424.019,407.763
7,8,9,652,246,21.1,5.2,733.686,34.668,598.621,576.183
7,8,10,781,196,22.2,5.2,879.146,38.841,705.554,678.816
7,8,11,809,195,22.8,6.7,953.645,38.483,767.642,738.228
7,8,12,777,216,21.7,6.2,941.995,38.031,759.986,730.909
7,8,13,727,236,21.7,6.2,872.133,36.822,707.051,680.249
7,8,14,660,238,21.1,6.7,728.151,33.06,598.56,576.124
7,8,15,533,234,20.6,6.2,525.69,29.498,433.304,416.746
7,8,16,360,207,20,6.7,312.3,24.705,254.361,243.118
7,8,17,267,152,19.4,6.7,155.076,21.256,121.97,113.958
7,8,18,0,0,18.3,5.7,0,18.3,0,0
7,8,19,0,0,18.3,4.1,0,18.3,0,0
7,8,20,0,0,17.8,4.1,0,17.8,0,0
7,8,21,0,0,17.8,3.1,0,17.8,0,0
7,8,22,0,0,17.8,1.5,0,17.8,0,0
7,8,23,0,0,17.8,1.5,0,17.8,0,0
7,9,0,0,0,17.8,0,0,17.8,0,0
7,9,1,0,0,17.2,0,0,17.2,0,0
7,9,2,0,0,16.7,1.5,0,16.7,0,0
7,9,3,0,0,16.1,1.5,0,16.1,0,0
7,9,4,0,0,17.2,1.5,0,17.2,0,0
7,9,5,0,18,18.3,2.6,15.899,16.965,14.189,8.365
7,9,6,11,108,18.9,2.1,94.377,19.662,82.616,75.448
7,9,7,6,163,18.9,3.1,145.624,21.024,127.336,119.204
7,9,8,29,249,18.9,2.6,240.971,23.689,208.016,197.971
7,9,9,551,313,20,3.1,717.934,35.816,582.953,561.111
7,9,10,525,329,21.1,4.1,785.551,37.897,633.734,609.926
7,9,11,761,242,21.1,5.2,961.187,39.354,770.372,740.838
7,9,12,777,216,21.7,5.7,942.893,38.914,757.358,728.397
